epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,666.067,0,47.9808,0,0,0,0,0,0,56.4313,0,0.000661538,0.000661538,0.000661538
2,1318.8,0,26.1283,0,0,0,0,0,0,27.3374,0,0.00119671,0.00119671,0.00119671
3,1967.6,0,14.2168,0,0,0,0,0,0,14.0294,0,0.00159989,0.00159989,0.00159989
4,2615.51,0,6.8861,0,0,0,0,0,0,6.71286,0,0.001406,0.001406,0.001406
5,3264.73,0,3.23501,0,0,0,0,0,0,3.34472,0,0.001208,0.001208,0.001208
6,3916.51,0,1.57824,0,0,0,0,0,0,1.7754,0,0.00101,0.00101,0.00101
7,4575.1,0,0.83629,0,0,0,0,0,0,1.05367,0,0.000812,0.000812,0.000812
8,5263.81,0,0.49566,0,0,0,0,0,0,0.58483,0,0.000614,0.000614,0.000614
9,5955.47,0,0.31952,0,0,0,0,0,0,0.44802,0,0.000416,0.000416,0.000416
10,6651.38,0,0.23731,0,0,0,0,0,0,0.342,0,0.000218,0.000218,0.000218
