epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.2703,1.61514,5.90472,0.01024,0.39025,0.42195,0.36261,0.19208,1.57156,2.8701,0.01098,0.000474428,0.000474428,0.000474428
2,132.698,1.61007,3.68256,0.01056,0.49946,0.52915,0.52239,0.27883,1.55636,1.66943,0.01085,0.000856636,0.000856636,0.000856636
3,181.19,1.63711,2.4322,0.01121,0.50725,0.57916,0.5877,0.3188,1.55533,1.5869,0.0111,0.00114453,0.00114453,0.00114453
4,230.115,1.63132,1.85286,0.01097,0.60542,0.58275,0.62347,0.35544,1.53459,1.43576,0.01097,0.00100459,0.00100459,0.00100459
5,280.468,1.6011,1.55996,0.01085,0.67676,0.67348,0.72902,0.40844,1.54053,1.19853,0.01121,0.000863116,0.000863116,0.000863116
6,333.106,1.54006,1.32914,0.01024,0.74895,0.6669,0.74972,0.4433,1.47617,1.15612,0.0102,0.000721645,0.000721645,0.000721645
7,383.954,1.4977,1.23839,0.00968,0.77708,0.70162,0.78834,0.48424,1.40096,1.05325,0.00961,0.000580174,0.000580174,0.000580174
8,434.6,1.46524,1.10444,0.00933,0.76859,0.72968,0.80334,0.49112,1.39173,0.99496,0.0094,0.000438703,0.000438703,0.000438703
9,503.939,1.42364,1.04113,0.00906,0.76449,0.757,0.81877,0.51296,1.34676,0.94896,0.00891,0.000297232,0.000297232,0.000297232
10,569.413,1.39893,0.98592,0.0088,0.76322,0.76795,0.82638,0.52313,1.31937,0.92956,0.00872,0.000155761,0.000155761,0.000155761
